"Date","Price","Volume","Market_cap"
"2023-04-21 00:00:00 UTC+0","1853.89404848","11582108107.893290","223262402096.17970000"
"2023-04-20 00:00:00 UTC+0","1943.50075022","10846438910.512552","231945252659.33115000"
"2023-04-19 00:00:00 UTC+0","1938.14544528","13604381987.844301","231353022738.45477000"
"2023-04-18 00:00:00 UTC+0","2106.91060994","8886865189.873190","251638268388.13696000"
"2023-04-17 00:00:00 UTC+0","2074.95524692","9234618846.990608","248407165054.18040000"
"2023-04-16 00:00:00 UTC+0","2120.22195983","7724229424.139016","254659194074.35895000"
"2023-04-15 00:00:00 UTC+0","2097.14666562","7903219592.172250","252107327243.12857000"
"2023-04-14 00:00:00 UTC+0","2106.71154761","16516577095.996881","253687834061.95386000"
"2023-04-13 00:00:00 UTC+0","2013.65349686","12358501585.663055","242518419108.31128000"
"2023-04-12 00:00:00 UTC+0","1910.68667379","12014866249.234310","230119263835.41522000"
"2023-04-11 00:00:00 UTC+0","1888.17254901","8953140265.099230","227409031135.58655000"
"2023-04-10 00:00:00 UTC+0","1907.45666246","8302652236.768345","229732214505.69160000"
"2023-04-09 00:00:00 UTC+0","1855.78762581","6022190012.423920","223514658554.38928000"
"2023-04-08 00:00:00 UTC+0","1846.39513150","4562264763.881311","222379971962.06348000"
"2023-04-07 00:00:00 UTC+0","1861.88388462","7909141558.967407","224247740018.29764000"
"2023-04-06 00:00:00 UTC+0","1867.37676096","7701697008.901330","224912716217.41437000"
"2023-04-05 00:00:00 UTC+0","1905.18147960","9808311626.131891","229468475207.56625000"
"2023-04-04 00:00:00 UTC+0","1874.54847246","31442752210.755367","225781048020.13263000"
"2023-04-03 00:00:00 UTC+0","1806.83772481","11756253552.993776","217626089323.97336000"
"2023-04-02 00:00:00 UTC+0","1796.52529195","41324549417.710620","216384706525.59177000"
"2023-04-01 00:00:00 UTC+0","1820.95640413","13663864209.740090","219329174315.68430000"
"2023-03-31 00:00:00 UTC+0","1821.31305940","11752263775.407831","219374968743.91306000"
"2023-03-30 00:00:00 UTC+0","1799.04086064","15986314452.231820","216696496781.87234000"
"2023-03-29 00:00:00 UTC+0","1791.64491429","10700302300.211113","215805646719.33258000"
"2023-03-28 00:00:00 UTC+0","1772.91668152","10655599813.808325","213551669685.10860000"
"2023-03-27 00:00:00 UTC+0","1715.02854065","9563880769.343610","206578901748.57657000"
